timestep,region,system,id,variable,value,i
2040,DE,solar < rooftopInd,,capaConv,4.013759689,47
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConv,1.675777013,47
2040,DE,engine < enginePeak < gasEngine,,capaConv,21.72040728,47
2040,DE,solar < rooftopResi,,capaConv,3.896830464,47
2040,DE,wind < onshore,,capaConv,86.46258729,47
2040,DE,ocgt < ocgtH2,,capaConv,66.92386695,47
2040,DE,solar < openspace,,capaConv,4.055062395,47
2040,DE,battery < redoxBattery,1,capaStOut,1.29E-05,47
2040,DE,battery < redoxBattery,1,capaStSize,5.93E-05,47
2040,DE,battery < redoxBattery,1,capaStIn,1.29E-05,47
2040,DE,engine < enginePeak < dieselEngine,,capaConv,0,47
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStOut,0.843114495,47
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSize,843.114495,47
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStIn,0.843114495,47
2040,DE,ocgt < ocgtGas,,capaConv,12.03811848,47
2040,DE,powerToX < synthFuel < methanePyrolysis,,capaConv,1.06E-05,47
2040,DE,wind < offshore,,capaConv,46.98211041,47
2040,DE,battery < lithiumBattery,1,capaStOut,0.600646115,47
2040,DE,battery < lithiumBattery,1,capaStSize,0.060096355,47
2040,DE,battery < lithiumBattery,1,capaStIn,0.600646115,47
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConv,1.254559181,47
2040,DE,solar < rooftopInd,,capaConv,4.013759689,47
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConv,1.675777013,47
2040,DE,engine < enginePeak < gasEngine,,capaConv,21.72040728,47
2040,DE,solar < rooftopResi,,capaConv,3.896830464,47
2040,DE,wind < onshore,,capaConv,86.46258729,47
2040,DE,ocgt < ocgtH2,,capaConv,66.92386695,47
2040,DE,solar < openspace,,capaConv,4.055062395,47
2040,DE,battery < redoxBattery,1,capaStOut,1.29E-05,47
2040,DE,battery < redoxBattery,1,capaStSize,5.93E-05,47
2040,DE,battery < redoxBattery,1,capaStIn,1.29E-05,47
2040,DE,engine < enginePeak < dieselEngine,,capaConv,0,47
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStOut,0.843114495,47
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSize,843.114495,47
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStIn,0.843114495,47
2040,DE,ocgt < ocgtGas,,capaConv,12.03811848,47
2040,DE,powerToX < synthFuel < methanePyrolysis,,capaConv,1.06E-05,47
2040,DE,wind < offshore,,capaConv,46.98211041,47
2040,DE,battery < lithiumBattery,1,capaStOut,0.600646115,47
2040,DE,battery < lithiumBattery,1,capaStSize,0.060096355,47
2040,DE,battery < lithiumBattery,1,capaStIn,0.600646115,47
none,none,none,none,objectiveValue,3.00E-13,47
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConv,1.223217845,48
2040,DE,solar < rooftopInd,,capaConv,4.178320612,48
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConv,1.660949244,48
2040,DE,engine < enginePeak < gasEngine,,capaConv,22.4079732,48
2040,DE,solar < rooftopResi,,capaConv,4.055668074,48
2040,DE,wind < onshore,,capaConv,86.46258723,48
2040,DE,ocgt < ocgtH2,,capaConv,69.25023102,48
2040,DE,solar < openspace,,capaConv,4.221644558,48
2040,DE,battery < redoxBattery,1,capaStOut,1.01E-05,48
2040,DE,battery < redoxBattery,1,capaStSize,7.28E-05,48
2040,DE,battery < redoxBattery,1,capaStIn,1.01E-05,48
2040,DE,engine < enginePeak < dieselEngine,,capaConv,0,48
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStOut,0.832172233,48
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSize,832.1735893,48
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStIn,0.832172233,48
2040,DE,ocgt < ocgtGas,,capaConv,12.39453141,48
2040,DE,powerToX < synthFuel < methanePyrolysis,,capaConv,1.06E-05,48
2040,DE,wind < offshore,,capaConv,47.41015395,48
2040,DE,battery < lithiumBattery,1,capaStOut,0.595474608,48
2040,DE,battery < lithiumBattery,1,capaStSize,0.059562065,48
2040,DE,battery < lithiumBattery,1,capaStIn,0.595473638,48
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConv,1.223217845,48
2040,DE,solar < rooftopInd,,capaConv,4.178320612,48
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConv,1.660949244,48
2040,DE,engine < enginePeak < gasEngine,,capaConv,22.4079732,48
2040,DE,solar < rooftopResi,,capaConv,4.055668074,48
2040,DE,wind < onshore,,capaConv,86.46258723,48
2040,DE,ocgt < ocgtH2,,capaConv,69.25023102,48
2040,DE,solar < openspace,,capaConv,4.221644558,48
2040,DE,battery < redoxBattery,1,capaStOut,1.01E-05,48
2040,DE,battery < redoxBattery,1,capaStSize,7.28E-05,48
2040,DE,battery < redoxBattery,1,capaStIn,1.01E-05,48
2040,DE,engine < enginePeak < dieselEngine,,capaConv,0,48
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStOut,0.832172233,48
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSize,832.1735893,48
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStIn,0.832172233,48
2040,DE,ocgt < ocgtGas,,capaConv,12.39453141,48
2040,DE,powerToX < synthFuel < methanePyrolysis,,capaConv,1.06E-05,48
2040,DE,wind < offshore,,capaConv,47.41015395,48
2040,DE,battery < lithiumBattery,1,capaStOut,0.595474608,48
2040,DE,battery < lithiumBattery,1,capaStSize,0.059562065,48
2040,DE,battery < lithiumBattery,1,capaStIn,0.595473638,48
none,none,none,none,objectiveValue,1.77E-08,48
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConv,1.18943029,49
2040,DE,solar < rooftopInd,,capaConv,4.355879336,49
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConv,1.644980839,49
2040,DE,engine < enginePeak < gasEngine,,capaConv,23.11061782,49
2040,DE,solar < rooftopResi,,capaConv,4.22705143,49
2040,DE,wind < onshore,,capaConv,86.46258722,49
