i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
37,1,"(1, 2)",1,2,4188.911672036409,3947.716409883683,241.19526215272617,57 milliseconds,0.0
37,2,"(1, 1)",1,1,143.17424144422773,0.0015178919015188443,143.1727235523262,68 milliseconds,0.0
37,3,"(2, 2)",2,2,16936.86883745819,16386.840695442475,550.0281420157153,60 milliseconds,1.0
37,4,"(2, 1)",2,1,28.692679793290207,2.275248065678488e-5,28.69265704080955,51 milliseconds,0.0
38,1,"(1, 2)",1,2,4269.18062205479,3909.403623323019,359.7769987317706,57 milliseconds,0.0
38,2,"(1, 1)",1,1,167.87103009264317,2.427145242172722e-5,167.87100582119075,63 milliseconds,0.0
38,3,"(2, 2)",2,2,17026.092773337434,16385.97559161454,640.1171817228933,60 milliseconds,1.0
38,4,"(2, 1)",2,1,91.38812531799547,5.539231522139631e-6,91.38811977876395,50 milliseconds,0.0
39,1,"(1, 2)",1,2,4275.441360772807,3909.2318714522344,366.2094893205722,69 milliseconds,1.0
39,2,"(1, 1)",1,1,168.18632573795793,0.0001918874864619623,168.18613385047146,63 milliseconds,0.0
39,3,"(2, 2)",2,2,16579.424065485975,16370.905323754489,208.51874173148644,60 milliseconds,0.0
39,4,"(2, 1)",2,1,78.63618887607703,5.070813898582764e-5,78.63613816793804,50 milliseconds,0.0
40,1,"(1, 2)",1,2,4038.241136728804,3863.8120658379876,174.42907089081655,69 milliseconds,0.0
40,2,"(1, 1)",1,1,204.71493343737168,9.893774179964901e-5,204.7148344996299,60 milliseconds,0.0
40,3,"(2, 2)",2,2,16505.761429712005,16256.305945191636,249.45548452036928,66 milliseconds,1.0
40,4,"(2, 1)",2,1,53.03899635642204,3.232320373226177e-5,53.038964033218306,51 milliseconds,0.0
41,1,"(1, 2)",1,2,4001.0748717116194,3817.649898571281,183.42497314033835,81 milliseconds,0.0
41,2,"(1, 1)",1,1,240.09032217782436,0.0002928903802337563,240.09002928744414,59 milliseconds,1.0
41,3,"(2, 2)",2,2,16256.79141786752,16104.708234491764,152.08318337575656,59 milliseconds,0.0
